company_id,ruc,razon_social,sector,region,empleados,segmento,fecha_alta,ejecutivo_comercial,nps,csat,facturacion_total,facturacion_promedio,facturacion_maxima,dias_mora_promedio,deuda_total,trafico_total_gb,trafico_promedio_gb,ancho_banda_promedio,pico_maximo_mbps,cantidad_servicios,monto_mensual_promedio,sla_promedio,cantidad_tickets,tiempo_resolucion_promedio,tickets_escalados,cantidad_eventos,duracion_promedio_eventos,churn,risk_score
13,20303911718,Obras Capital EIRL,Construcci�n,Piura,7971,SMB,2018-01-06,Ejecutivo_14,85,4.7,741725.8500000001,30905.243750000005,58696.81,4.0,440142.5999999999,241287.69,10053.65375,402.1466666666667,1386.32,2,10260.905,99.9,17,26.529411764705884,1,49,27.3265306122449,0,17.92
30,20158692322,Software Andes SAC,Tecnolog�a,Ica,3189,Enterprise,2024-04-21,Ejecutivo_31,70,4.05,822160.07,34256.66958333333,59850.01,3.8333333333333335,555988.37,258854.73999999996,10785.614166666664,431.4241666666666,1487.25,1,11991.41,99.5,7,21.0,0,56,32.0,0,43.32
37,20777387214,Farmac�utica Capital EIRL,Salud,Cajamarca,316,Mid-Market,2022-01-04,Ejecutivo_38,65,4.25,595419.05,24809.127083333336,58741.98,4.25,730104.2499999999,76114.36,3171.431666666667,126.85708333333334,437.32,1,20400.13,99.5,11,27.90909090909091,1,57,28.75438596491228,0,16.45
41,20277434873,Academia Capital EIRL,Educaci�n,Tacna,29,Enterprise,2018-12-30,Ejecutivo_42,81,4.18,691905.09,28829.37875,58479.42,4.958333333333333,613774.9999999999,197289.32,8220.388333333334,328.8154166666667,1133.53,3,9986.08,99.76666666666667,16,29.0,0,48,32.916666666666664,0,19.54
58,20134352408,Manufactura Sur EIRL,Manufactura,Trujillo,1876,SMB,2025-05-03,Ejecutivo_9,52,4.54,773847.31,32243.63791666667,56065.09,4.291666666666667,535965.54,256234.27000000002,10676.427916666667,427.05500000000006,1472.2,2,9280.725,99.5,9,23.11111111111111,0,22,33.72727272727273,0,31.16
59,20271094777,Comercial Per� EIRL,Retail,Tacna,2265,Enterprise,2022-08-18,Ejecutivo_10,6,1.47,747662.2099999998,31152.592083333326,58849.99,34.958333333333336,495281.9799999999,157935.56,6580.6483333333335,263.22583333333336,1154.5,5,6953.392,99.75,69,126.08695652173913,47,96,251.25,1,93.56
60,20116719022,Transportes Pac�fico EIRL,Transporte,Lima,6399,Mid-Market,2017-07-16,Ejecutivo_11,88,4.91,661242.6699999998,27551.77791666666,59367.31,3.4166666666666665,658584.1300000001,82818.78,3450.7825,138.0308333333334,475.84,3,16513.01,99.95,20,28.4,4,37,31.027027027027028,0,11.37
120,20418880592,Medical Andes SAC,Salud,Lima,8155,Mid-Market,2019-08-29,Ejecutivo_21,17,2.27,646651.54,26943.814166666667,58593.55,24.375,622424.41,112279.6,4678.316666666667,187.13291666666666,820.76,1,7021.31,99.95,37,133.40540540540542,23,132,280.7651515151515,1,87.12
153,20480162456,Producci�n Capital EIRL,Manufactura,Tacna,8661,Enterprise,2024-04-26,Ejecutivo_4,96,4.04,851277.2200000002,35469.88416666668,57257.88,5.583333333333333,522932.25,147463.46,6144.310833333333,245.77208333333337,847.25,5,10396.634000000002,99.76,10,24.1,0,20,30.5,0,22.78
159,20972896230,Campos Andes SAC,Agroindustria,Arequipa,5860,SMB,2017-07-21,Ejecutivo_10,88,4.89,690618.0900000001,28775.753750000003,57030.96,4.875,736701.2800000001,54488.840000000004,2270.3683333333333,90.815,313.07,4,10680.34,99.9,12,18.75,0,59,31.0,0,27.39
163,20575844198,Retail Sur EIRL,Retail,Cusco,569,Mid-Market,2020-03-12,Ejecutivo_14,52,4.13,751677.94,31319.914166666666,59971.54,3.75,605410.13,169758.78000000003,7073.282500000001,282.93250000000006,975.35,4,12372.220000000001,99.80000000000001,22,26.59090909090909,1,36,23.5,0,23.51
178,20622656766,Infraestructura Per� EIRL,Construcci�n,Chiclayo,1631,Enterprise,2017-01-26,Ejecutivo_29,89,4.38,511489.33,21312.055416666666,59023.51,4.458333333333333,553757.86,171349.28,7139.553333333333,285.5825,984.49,2,11296.02,99.5,16,27.125,1,28,27.357142857142858,0,50.9
187,20139837354,Distribuidora Sur SAC,Retail,Tacna,1019,Enterprise,2020-02-21,Ejecutivo_38,84,4.6,848205.13,35341.88041666667,59158.35,3.2083333333333335,635802.67,98628.44,4109.518333333333,164.38083333333336,566.67,3,14679.196666666669,99.76666666666667,20,23.35,1,27,25.77777777777778,0,12.68
191,20536937854,Comunicaciones Andes SAC,Telecomunicaciones,Lima,6824,Enterprise,2025-04-03,Ejecutivo_42,81,3.93,754907.2399999999,31454.468333333327,59144.18,4.916666666666667,547511.4099999999,162229.73000000004,6759.572083333335,270.3845833333334,932.09,2,16455.035,99.95,22,30.863636363636363,2,59,31.74576271186441,0,5.92
193,20006231203,Cloud Per� SAC,Tecnolog�a,Piura,6716,Enterprise,2016-01-18,Ejecutivo_44,97,4.53,770705.2400000002,32112.71833333334,59489.44,5.083333333333333,442982.21,83254.6,3468.941666666667,138.7579166666667,478.34,1,22201.03,99.95,9,23.555555555555557,0,55,27.98181818181818,0,16.75
206,20264647154,Distribuidora Andes SAC,Retail,Cusco,1894,Enterprise,2023-11-25,Ejecutivo_7,84,4.2,652538.28,27189.095,58403.01,5.0,572092.8999999999,104614.71000000002,4358.946250000001,174.3575,601.07,4,11056.954999999998,99.9375,8,19.75,1,24,34.541666666666664,0,57.33
211,20617979688,Retail Sur EIRL,Retail,Cajamarca,9260,Enterprise,2017-01-13,Ejecutivo_12,92,4.38,680994.6599999998,28374.777499999993,51898.08,4.291666666666667,512267.79,55994.91,2333.12125,93.325,321.72,5,16409.804,99.82000000000001,5,15.6,0,53,26.37735849056604,0,16.64
219,20371478596,Educativa Pac�fico EIRL,Educaci�n,Cusco,4771,Enterprise,2020-06-08,Ejecutivo_20,22,2.65,873295.73,36387.32208333333,56233.06,44.958333333333336,628331.24,17145.790000000005,714.4079166666669,28.57625,125.33,4,13148.8975,99.6,58,125.56896551724138,42,109,256.74311926605503,1,87.11
226,20407451713,Telecom Sur SAC,Telecomunicaciones,Ica,106,Mid-Market,2024-12-23,Ejecutivo_27,72,4.0,718602.2600000001,29941.760833333337,56559.5,4.541666666666667,630775.26,113907.02999999997,4746.126249999998,189.845,654.45,5,7063.938,99.83000000000001,24,26.5,1,35,26.97142857142857,0,36.85
230,20577590175,Constructora Inca EIRL,Construcci�n,Tacna,6938,Mid-Market,2024-12-08,Ejecutivo_31,70,4.56,607426.7100000001,25309.446250000005,56575.99,5.208333333333333,573043.81,168111.81,7004.65875,280.18625000000003,965.89,2,15244.95,99.92500000000001,12,25.0,2,31,27.483870967741936,0,7.24
242,20188924141,Comunicaciones Sur EIRL,Telecomunicaciones,Arequipa,9516,SMB,2022-06-21,Ejecutivo_43,55,4.54,713752.9700000001,29739.70708333334,58687.88,4.0,533417.6699999999,175948.32999999996,7331.180416666665,293.245,1010.91,5,8668.836,99.75,8,21.875,0,35,24.857142857142858,0,15.94
265,20239559059,Comunicaciones Capital SAC,Telecomunicaciones,Lima,673,SMB,2016-05-06,Ejecutivo_16,98,4.4,869201.34,36216.722499999996,58305.32,4.708333333333333,526451.9400000002,183822.35999999996,7659.2649999999985,306.3704166666667,1056.15,1,18279.23,99.95,22,22.772727272727273,2,22,25.818181818181817,0,37.3
277,20149731032,Software Per� EIRL,Tecnolog�a,Lima,298,Enterprise,2018-07-03,Ejecutivo_28,70,4.56,744912.38,31038.015833333335,58092.44,4.458333333333333,528099.9800000001,47125.079999999994,1963.5449999999998,78.54166666666669,270.76,1,5207.79,99.95,7,29.0,0,23,24.73913043478261,0,48.49
282,20332061632,Infraestructura Andes SAC,Construcci�n,Chiclayo,5666,SMB,2016-03-02,Ejecutivo_33,64,3.97,707026.1500000001,29459.422916666674,55012.58,4.0,546155.7599999999,247036.91000000003,10293.204583333334,411.7283333333334,1419.35,1,12108.16,99.9,13,21.076923076923077,0,47,29.48936170212766,0,11.83
283,20168685487,Agroindustrial Pac�fico SAC,Agroindustria,Cajamarca,8303,Mid-Market,2020-08-13,Ejecutivo_34,63,4.09,652822.07,27200.919583333332,53829.89,4.5,642791.22,243628.47999999998,10151.186666666666,406.04749999999996,1399.77,1,16579.26,99.5,23,18.608695652173914,0,32,31.9375,0,57.51
302,20296666760,Log�stica Inca SAC,Transporte,Tacna,3046,Enterprise,2022-05-21,Ejecutivo_3,92,3.73,676150.05,28172.91875,58999.67,5.125,583529.31,254746.52000000002,10614.438333333334,424.57749999999993,1463.65,3,10358.156666666668,99.91666666666667,17,20.235294117647058,0,42,31.571428571428573,0,22.65
321,20550375899,Retail Sur EIRL,Retail,Lima,7455,Enterprise,2018-04-07,Ejecutivo_22,63,4.29,753614.09,31400.587083333332,59169.12,4.583333333333333,574441.96,251486.66000000003,10478.610833333334,419.14416666666676,1444.92,2,14925.525,99.9,14,20.142857142857142,5,52,29.307692307692307,0,51.35
326,20693465472,Campos Pac�fico EIRL,Agroindustria,Trujillo,2926,Enterprise,2016-12-13,Ejecutivo_27,86,3.91,742255.05,30927.29375,58060.71,4.291666666666667,709933.7400000001,79544.04000000002,3314.335000000001,132.57333333333335,457.02,1,8584.69,99.5,11,24.181818181818183,0,33,31.181818181818183,0,14.49
351,20084887256,Campos Inca SAC,Agroindustria,Tacna,3956,SMB,2020-06-04,Ejecutivo_2,83,4.06,696163.33,29006.805416666666,48923.7,3.7083333333333335,598076.7299999999,198106.96000000005,8254.456666666669,330.17875,1138.23,4,8161.475,99.6125,7,19.571428571428573,0,24,28.416666666666668,0,35.91
364,20865086376,Transportes Capital EIRL,Transporte,Cajamarca,7431,Mid-Market,2017-02-16,Ejecutivo_15,98,4.49,846755.7800000001,35281.49083333334,59121.43,2.8333333333333335,547802.34,101391.27000000002,4224.6362500000005,168.98541666666668,582.55,4,12109.345000000001,99.82499999999999,11,23.636363636363637,0,35,31.62857142857143,0,16.97
365,20624731498,Campos Capital SAC,Agroindustria,Ica,1281,Mid-Market,2019-08-31,Ejecutivo_16,78,3.92,529073.75,22044.739583333332,53925.76,4.333333333333333,592657.14,206674.58999999997,8611.441249999998,344.4583333333334,1187.45,1,10165.8,99.5,18,22.77777777777778,1,44,27.636363636363637,0,4.29
511,20219620710,Industrial Norte SAC,Manufactura,Huancayo,9123,Mid-Market,2023-09-19,Ejecutivo_12,98,3.7,640194.47,26674.76958333333,59735.06,5.083333333333333,602563.8799999998,219712.42,9154.684166666668,366.1875,1262.36,3,14382.546666666667,99.76666666666667,5,19.0,0,40,30.425,0,5.87
532,20695579887,Digital Capital EIRL,Tecnolog�a,Lima,5319,SMB,2021-12-05,Ejecutivo_33,25,2.53,791716.03,32988.167916666665,59482.0,32.916666666666664,576086.7900000002,111692.53000000001,4653.855416666667,186.1541666666667,816.47,2,23627.75,99.725,48,131.8125,36,155,244.47096774193548,1,89.5
592,20291086771,Retail Per� EIRL,Retail,Cajamarca,1582,Mid-Market,2018-05-02,Ejecutivo_43,62,4.67,693102.1599999999,28879.256666666664,59267.06,4.541666666666667,551769.63,154007.13,6416.96375,256.67875,884.85,4,9209.29,99.925,13,24.46153846153846,2,24,37.125,0,27.59
623,20380054522,Comunicaciones Pac�fico SAC,Telecomunicaciones,Cusco,3135,SMB,2019-04-06,Ejecutivo_24,69,3.68,620099.8200000002,25837.492500000008,58776.85,4.875,535510.48,207689.99000000002,8653.749583333334,346.15000000000003,1193.29,4,12906.367499999998,99.82499999999999,14,17.0,0,38,28.42105263157895,0,40.45
627,20125521376,Distribuidora Capital EIRL,Retail,Cajamarca,2842,Mid-Market,2016-08-09,Ejecutivo_28,80,3.64,731803.95,30491.83125,57628.91,3.3333333333333335,552296.4199999999,51033.69000000002,2126.403750000001,85.05583333333333,293.21,4,14168.849999999999,99.725,9,19.555555555555557,1,45,28.466666666666665,0,28.74
659,20695620175,Producci�n Per� EIRL,Manufactura,Arequipa,6116,SMB,2016-07-29,Ejecutivo_10,59,3.78,707050.0300000001,29460.417916666673,58984.58,3.75,443094.3,123588.14000000001,5149.505833333334,205.98041666666668,710.08,2,11405.275,99.9,17,22.176470588235293,2,44,27.931818181818183,0,26.95
681,20122338655,Agroindustrial Sur SAC,Agroindustria,Ica,7372,Enterprise,2018-06-09,Ejecutivo_32,23,2.67,846187.64,35257.818333333336,58730.36,27.458333333333332,651231.1100000001,62417.2,2600.7166666666667,104.02583333333332,456.27,4,12099.45,99.8125,72,129.375,43,178,246.2078651685393,1,79.97
695,20636186371,Campos Norte EIRL,Agroindustria,Cusco,4532,Mid-Market,2017-01-05,Ejecutivo_46,94,3.53,758086.3900000001,31586.932916666672,58595.41,4.166666666666667,577050.7400000002,229507.56,9562.815,382.51166666666677,1318.64,5,14406.303999999998,99.67,22,23.181818181818183,2,37,24.54054054054054,0,28.6
703,20815118567,Ingenier�a Inca EIRL,Construcci�n,Ica,8810,Mid-Market,2020-03-25,Ejecutivo_4,70,4.77,675970.49,28165.437083333334,57320.81,4.916666666666667,572029.76,79608.95000000003,3317.0395833333346,132.68500000000003,457.39,2,21411.6,99.5,23,21.91304347826087,1,20,29.55,0,23.64
716,20303975245,Retail Andes EIRL,Retail,Piura,1216,Mid-Market,2021-05-26,Ejecutivo_17,91,4.15,705274.2299999999,29386.426249999993,56188.45,4.958333333333333,486565.9999999999,73443.0,3060.125,122.40499999999999,421.97,3,11751.613333333333,99.93333333333334,5,22.0,0,31,29.322580645161292,0,57.07
717,20403553380,Cloud Capital EIRL,Tecnolog�a,Piura,804,Enterprise,2017-04-28,Ejecutivo_18,97,3.73,649838.92,27076.62166666667,57464.08,4.875,519858.6399999999,149643.09,6235.12875,249.40500000000006,859.78,4,17758.74,99.6125,12,24.25,1,32,29.5,0,59.54
792,20424033810,Cl�nica Per� SAC,Salud,Cajamarca,6900,SMB,2020-03-16,Ejecutivo_43,93,4.67,789695.6,32903.98333333333,59271.1,4.541666666666667,571567.6399999999,118108.45999999999,4921.185833333333,196.84708333333336,678.59,5,7748.8460000000005,99.76,18,24.055555555555557,0,22,25.09090909090909,0,33.12
794,20240891649,Capital Sur EIRL,Finanzas,Lima,7826,Mid-Market,2024-06-26,Ejecutivo_45,95,3.57,619315.76,25804.823333333334,59785.79,4.208333333333333,622773.45,247316.4,10304.85,412.19416666666666,1420.96,3,9702.653333333334,99.78333333333335,15,27.0,0,51,29.58823529411765,0,32.31
803,20109226859,Obras Per� EIRL,Construcci�n,Tacna,3772,Mid-Market,2025-03-25,Ejecutivo_4,63,4.31,732086.5300000001,30503.605416666673,57613.04,4.291666666666667,599121.8,158503.65999999997,6604.319166666665,264.17249999999996,910.69,2,13222.259999999998,99.725,6,25.0,0,43,29.6046511627907,0,39.61
813,20928206678,Ingenier�a Per� SAC,Construcci�n,Lima,9405,Enterprise,2018-06-04,Ejecutivo_14,57,4.89,866211.88,36092.16166666667,58475.65,4.125,581207.8999999999,146662.73,6110.9470833333335,244.43791666666667,842.65,2,12479.135,99.5,23,23.652173913043477,4,30,20.7,0,54.21
851,20244731584,Capital Andes SAC,Finanzas,Lima,5807,Mid-Market,2018-04-24,Ejecutivo_2,91,4.42,708350.6199999999,29514.60916666666,57794.52,4.333333333333333,439275.71,41410.68,1725.445,69.01833333333333,237.93,3,10815.570000000002,99.78333333333335,12,30.916666666666668,0,55,30.12727272727273,0,30.37
855,20601256253,Campos Norte EIRL,Agroindustria,Cajamarca,3669,Enterprise,2019-05-25,Ejecutivo_6,32,2.62,837417.03,34892.37625,58849.07,41.708333333333336,625720.7899999999,71398.55,2974.9395833333333,118.99749999999999,521.92,5,11992.761999999999,99.75999999999999,36,134.88888888888889,24,147,263.4421768707483,1,71.65
861,20455618579,Infraestructura Sur EIRL,Construcci�n,Piura,3407,Mid-Market,2025-07-14,Ejecutivo_12,85,4.0,725404.0700000001,30225.169583333336,59039.72,3.2083333333333335,691035.2000000001,28415.18,1183.9658333333334,47.35833333333333,163.26,2,6727.62,99.9,15,23.133333333333333,0,33,35.42424242424242,0,27.52
865,20967188397,Ingenier�a Pac�fico SAC,Construcci�n,Huancayo,5580,Mid-Market,2023-08-23,Ejecutivo_16,75,4.86,650062.3199999998,27085.929999999993,58719.2,4.166666666666667,725082.3,174286.77,7261.94875,290.47791666666666,1001.37,5,12785.144,99.84,21,16.38095238095238,1,23,27.043478260869566,0,9.01
871,20326868507,Educativa Pac�fico EIRL,Educaci�n,Huancayo,2772,SMB,2021-07-29,Ejecutivo_22,62,3.79,921457.0999999996,38394.045833333315,59986.02,5.291666666666667,617599.28,258532.13,10772.172083333333,430.8866666666667,1485.4,4,5646.062499999999,99.825,22,21.0,0,34,31.264705882352942,0,59.86
875,20940128974,Cl�nica Sur EIRL,Salud,Piura,542,Mid-Market,2021-04-07,Ejecutivo_26,71,4.16,706010.5599999999,29417.106666666663,57962.93,4.166666666666667,610825.45,252160.2,10506.675000000001,420.26708333333335,1448.79,2,15281.49,99.5,11,26.90909090909091,0,21,25.761904761904763,0,13.19
879,20745705458,Producci�n Pac�fico EIRL,Manufactura,Huancayo,1863,SMB,2022-02-06,Ejecutivo_30,75,4.2,646706.3999999999,26946.099999999995,59119.28,4.541666666666667,625354.3899999999,105440.98,4393.3741666666665,175.735,605.81,2,13012.57,99.92500000000001,11,24.727272727272727,0,28,36.17857142857143,0,20.29
918,20374584384,Farmac�utica Sur EIRL,Salud,Tacna,2997,Mid-Market,2017-12-24,Ejecutivo_19,61,4.57,633078.96,26378.289999999997,59662.1,4.875,466846.2100000001,145241.65000000002,6051.735416666667,242.06916666666675,834.49,4,14193.6425,99.80000000000001,9,26.555555555555557,1,21,30.476190476190474,0,38.25
970,20067287286,Farmac�utica Capital SAC,Salud,Huancayo,1260,Enterprise,2020-02-06,Ejecutivo_21,75,4.7,772866.4000000001,32202.766666666674,59579.01,4.875,484967.14999999997,57778.62,2407.4425,96.2979166666667,331.97,5,16166.16,99.66999999999999,17,18.41176470588235,0,49,30.040816326530614,0,14.78
977,20973203319,Comunicaciones Norte EIRL,Telecomunicaciones,Lima,8803,SMB,2021-10-09,Ejecutivo_28,62,4.98,744194.5700000001,31008.107083333336,57338.56,4.583333333333333,597629.69,38607.409999999996,1608.6420833333332,64.34583333333335,221.82,5,11039.757999999998,99.77,14,29.928571428571427,1,35,30.685714285714287,0,59.17
1000,20613285072,Ingenier�a Andes SAC,Construcci�n,Cusco,7581,Enterprise,2023-03-12,Ejecutivo_1,55,3.69,800798.91,33366.621250000004,59276.41,4.416666666666667,527987.28,238087.4,9920.308333333332,396.8120833333334,1367.93,2,10097.23,99.95,11,15.818181818181818,0,39,27.692307692307693,0,59.13
1003,20555809961,Medical Capital SAC,Salud,Cusco,7753,Mid-Market,2017-12-19,Ejecutivo_4,90,3.79,778933.2700000001,32455.55291666667,57474.27,4.833333333333333,507948.0799999999,244650.44000000006,10193.768333333335,407.75083333333345,1405.64,4,10848.640000000001,99.925,13,28.23076923076923,0,45,31.377777777777776,0,41.67
1004,20034615626,Medical Inca SAC,Salud,Huancayo,9832,SMB,2024-01-12,Ejecutivo_5,82,4.13,702058.16,29252.423333333336,57796.56,4.291666666666667,579320.1199999999,29633.429999999997,1234.72625,49.389166666666654,170.26,4,18017.5325,99.5,19,27.63157894736842,0,33,30.151515151515152,0,30.08
1030,20616481980,Systems Capital EIRL,Tecnolog�a,Ica,2690,Enterprise,2018-08-17,Ejecutivo_31,17,2.06,844066.6099999999,35169.44208333333,57733.5,29.666666666666668,649126.11,57889.13999999999,2412.0474999999997,96.48208333333334,423.17,3,10849.873333333335,99.76666666666667,40,122.95,27,154,246.63636363636363,1,89.14
1043,20893974909,Infraestructura Andes SAC,Construcci�n,Piura,4671,Enterprise,2024-07-10,Ejecutivo_44,56,4.03,702983.95,29290.997916666664,58871.03,5.25,641639.9100000001,73144.46,3047.6858333333334,121.90666666666665,420.25,1,3713.71,99.95,15,16.733333333333334,0,29,32.3448275862069,0,17.85
1052,20056658833,Market Capital EIRL,Retail,Chiclayo,176,Mid-Market,2016-07-25,Ejecutivo_3,73,3.6,724942.4999999999,30205.937499999996,57589.82,4.583333333333333,769434.3200000001,163585.95,6816.08125,272.6429166666666,939.89,4,15260.6175,99.7,6,19.0,0,33,29.333333333333332,0,42.74
1063,20395873959,Consulting Andes EIRL,Finanzas,Cusco,6592,Enterprise,2023-04-18,Ejecutivo_14,58,4.43,550708.1799999999,22946.174166666664,55719.58,4.583333333333333,565377.98,227528.84000000003,9480.368333333334,379.2145833333334,1307.27,5,13414.35,99.84,17,31.294117647058822,2,27,24.74074074074074,0,0.36
1068,20633185748,Agroindustrial Sur EIRL,Agroindustria,Arequipa,8463,Mid-Market,2017-09-14,Ejecutivo_19,92,4.81,838045.14,34918.5475,58900.43,4.083333333333333,606840.88,194305.41999999998,8096.059166666666,323.8420833333334,1116.38,1,3690.48,99.9,6,20.5,0,55,33.72727272727273,0,30.06
1076,20779323822,Academia Norte SAC,Educaci�n,Cajamarca,8961,SMB,2022-03-21,Ejecutivo_27,25,1.08,546405.03,22766.87625,49012.42,46.916666666666664,522621.81999999995,44637.280000000006,1859.886666666667,74.395,326.3,1,6676.42,99.9,59,119.67796610169492,40,111,246.65765765765767,1,95.4
1083,20818268323,Inversiones Inca EIRL,Finanzas,Arequipa,5870,Mid-Market,2021-02-20,Ejecutivo_34,97,3.65,669305.27,27887.719583333335,55142.11,5.208333333333333,568216.8300000001,33120.61,1380.0254166666666,55.20000000000001,190.29,5,15545.212,99.84,5,24.6,0,24,31.5,0,51.56
